# rank	seq_id	rel_abund_perc
1	uc001aac.2	10.9963790321045
2	uc009vir.1	10.4608800531939
3	uc009vja.1	9.35636215928863
4	uc009vix.1	9.30470225779373
5	uc001aah.2	7.77716517050145
6	uc009vit.1	7.02738660017923
7	uc009viy.1	6.8181769991001
8	uc009vjb.1	5.88769877333598
9	uc001aai.1	5.48900953355662
10	uc009viz.1	4.50636140727007
11	uc001aag.1	4.15853207051105
12	uc009viv.1	3.50897330908969
13	uc009viu.1	2.86509453683774
14	uc009vjd.1	2.58774506568771
15	uc009vje.1	2.30978559570083
16	uc009viq.1	2.03146612640039
17	uc001aab.2	1.70030675785507
18	uc009vjc.1	1.55894702739981
19	uc001aae.2	1.16444777963097
20	uc001aaf.1	0.485056075095076
21	uc009viw.1	0.00552366946746706
